Danske navn;Latinske navn;Engelske navn
Okkertræand;Dendrocygna bicolor;Fulvous Whistling Duck
Lille Træand;Dendrocygna javanica;Lesser Whistling Duck
Knopsvane;Cygnus olor;Mute Swan
Sortsvane;Cygnus atratus;Black Swan
Pibesvane;Cygnus columbianus;Tundra Swan
Sangsvane;Cygnus cygnus;Whooper Swan
Sædgås;Anser fabalis;Bean Goose
Kortnæbbet Gås;Anser brachyrhynchus;Pink-footed Goose
Blisgås;Anser albifrons;Greater White-fronted Goose
Dværggås;Anser erythropus;Lesser White-fronted Goose
Grågås;Anser anser;Greylag Goose
Snegås;Anser caerulescens;Snow Goose
Dværgsnegås;Anser rossii;Ross’s Goose
Indisk Gås;Anser indicus;Bar-headed Goose
Canadagås;Branta canadensis;Greater Canada Goose
Dværgcanadagås;Branta hutchinsii;Cackling Goose
Bramgås;Branta leucopsis;Barnacle Goose
Knortegås;Branta bernicla;Brant Goose
Rødhalset Gås;Branta ruficollis;Red-breasted Goose
Nilgås;Alopochen aegyptiaca;Egyptian Goose
Rustand;Tadorna ferruginea;Ruddy Shelduck
Gravand;Tadorna tadorna;Common Shelduck
Sporegås;Plectropterus gambensis;Spur-winged Goose
Knopgås;Sarkidiornis melanotos;Knob-billed Duck
Indisk Dværgand;Nettapus coromandelianus;Cotton Pygmy Goose
Brudeand;Aix sponsa;Wood Duck
Mandarinand;Aix galericulata;Mandarin Duck
Pibeand;Anas penelope;Eurasian Wigeon
Amerikansk Pibeand;Anas americana;American Wigeon
Segland;Anas falcata;Falcated Duck
Knarand;Anas strepera;Gadwall
Sibirisk Krikand;Anas formosa;Baikal Teal
Krikand;Anas crecca;Eurasian Teal
Amerikansk Krikand;Anas carolinensis;Green-winged Teal
Kapand;Anas capensis;Cape Teal
Gråand;Anas platyrhynchos;Mallard
Sortbrun And;Anas rubripes;American Black Duck
Spidsand;Anas acuta;Northern Pintail
Rødnæbbet And;Anas erythrorhyncha;Red-billed Teal
Atlingand;Anas querquedula;Garganey
Blåvinget And;Anas discors;Blue-winged Teal
Skeand;Anas clypeata;Northern Shoveler
Marmorand;Marmaronetta angustirostris;Marbled Duck
Rødhovedet And;Netta rufina;Red-crested Pochard
Taffeland;Aythya ferina;Common Pochard
Stor Taffeland;Aythya valisineria;Canvasback
Rødøjet And;Netta erythrophthalma;Southern Pochard
Amerikansk Taffeland;Aythya americana;Redhead
Halsbåndstroldand;Aythya collaris;Ring-necked Duck
Hvidøjet And;Aythya nyroca;Ferruginous Duck
Troldand;Aythya fuligula;Tufted Duck
Bjergand;Aythya marila;Greater Scaup
Lille Bjergand;Aythya affinis;Lesser Scaup
Ederfugl;Somateria mollissima;Common Eider
Kongeederfugl;Somateria spectabilis;King Eider
Brilleederfugl;Somateria fischeri;Spectacled Eider
Stellersand;Polysticta stelleri;Steller’s Eider
Strømand;Histrionicus histrionicus;Harlequin Duck
Havlit;Clangula hyemalis;Long-tailed Duck
Sortand;Melanitta nigra;Black Scoter
Amerikansk Sortand;Melanitta americana;American Scoter
Brilleand;Melanitta perspicillata;Surf Scoter
Fløjlsand;Melanitta fusca;Velvet Scoter
Amerikansk Fløjlsand;Melanitta deglandi;White-winged Scoter
Bøffeland;Bucephala albeola;Bufflehead
Islandsk Hvinand;Bucephala islandica;Barrow’s Goldeneye
Hvinand;Bucephala clangula;Common Goldeneye
Hjelmskallesluger;Mergus cucullatus;Hooded Merganser
Lille Skallesluger;Mergellus albellus;Smew
Toppet Skallesluger;Mergus serrator;Red-breasted Merganser
Stor Skallesluger;Mergus merganser;Common Merganser
Amerikansk Skarveand;Oxyura jamaicensis;Ruddy Duck
Hvidhovedet Skarveand;Oxyura leucocephala;White-headed Duck
Hvepsevåge;Pernis apivorus;European Honey-buzzard
Østlig Hvepsevåge;Pernis ptilorhyncus;Crested Honey Buzzard
Svalehaleglente;Elanoides forficatus;Swallow-tailed Kite
Blå Glente;Elanus caeruleus;Black-winged Kite
Sort Glente;Milvus migrans;Black Kite
Rød Glente;Milvus milvus;Red Kite
Afrikansk Flodørn;Haliaeetus vocifer;African Fish Eagle
Pallas´ Havørn;Haliaeetus leucoryphus;Pallas’s Fish Eagle
Havørn;Haliaeetus albicilla;White-tailed Eagle
Hvidhovedet Havørn;Haliaeetus leucocephalus;Bald Eagle
Lammegrib;Gypaetus barbatus;Bearded Vulture
Ådselgrib;Neophron percnopterus;Egyptian Vulture
Hættegrib;Necrosyrtes monachus;Hooded Vulture
Hvidrygget Grib;Gyps africanus;White-backed Vulture
Gåsegrib;Gyps fulvus;Griffon Vulture
Rüppells Grib;Gyps rueppellii;Rüppell’s Griffon
Øregrib;Torgos tracheliotus;Lappet-faced Vulture
Munkegrib;Aegypius monachus;Cinereous Vulture
Slangeørn;Circaetus gallicus;Short-toed Snake Eagle
Gøglerørn;Terathopius ecaudatus;Bateleur
Rørhøg;Circus aeruginosus;Western Marsh Harrier
Blå Kærhøg;Circus cyaneus;Northern Harrier
Steppehøg;Circus macrourus;Pallid Harrier
