Danske navn;Latinske navn;Engelske navn
Koel;Eudynamys scolopaceus;Asian Koel
Slørugle;Tyto alba;Barn Owl
Stribet Dværghornugle;Otus brucei;Pallid Scops Owl
Dværghornugle;Otus scops;Eurasian Scops Owl
Stor Hornugle;Bubo bubo;Eurasian Eagle-Owl
Ørkenhornugle;Bubo ascalaphus;Pharaoh Eagle-Owl
Brun Fiskeugle;Ketupa zeylonensis;Brown Fish Owl
Sneugle;Bubo scandiacus;Snowy Owl
Høgeugle;Surnia ulula;Northern Hawk-owl
Spurveugle;Glaucidium passerinum;Eurasian Pygmy Owl
Kirkeugle;Athene noctua;Little Owl
Natugle;Strix aluco;Tawny Owl
Ørkennatugle;Strix butleri;Hume’s Owl
Slagugle;Strix uralensis;Ural Owl
Lapugle;Strix nebulosa;Great Grey Owl
Skovhornugle;Asio otus;Long-eared Owl
Mosehornugle;Asio flammeus;Short-eared Owl
Kapugle;Asio capensis;Marsh Owl
Perleugle;Aegolius funereus;Boreal Owl
Nubisk Natravn;Caprimulgus nubicus;Nubian Nightjar
Natravn;Caprimulgus europaeus;European Nightjar
Rødhalset Natravn;Caprimulgus ruficollis;Red-necked Nightjar
Ørkennatravn;Caprimulgus aegyptius;Egyptian Nightjar
Nathøg;Chordeiles minor;Common Nighthawk
Tornhalesejler;Hirundapus caudacutus;White-throated Needletail
Skorstenssejler;Chaetura pelagica;Chimney Swift
Kap Verde-sejler;Apus alexandri;Cap Verde Swift
Ensfarvet Sejler;Apus unicolor;Plain Swift
Mursejler;Apus apus;Common Swift
Gråsejler;Apus pallidus;Pallid Swift
Orientsejler;Apus pacificus;Fork-tailed Swift
Alpesejler;Apus melba;Alpine Swift
Kaffersejler;Apus caffer;White-rumped Swift
Lille Sejler;Apus affinis;Little Swift
Smyrnaisfugl;Halcyon smyrnensis;White-throated Kingfisher
Gråhovedet Isfugl;Halcyon leucocephala;Grey-headed Kingfisher
Isfugl;Alcedo atthis;Common Kingfisher
Gråfisker;Ceryle rudis;Pied Kingfisher
Bæltestødfisker;Megaceryle alcyon;Belted Kingfisher
Lille Grøn Biæder;Merops orientalis;Green Bee-eater
Grøn Biæder;Merops persicus;Blue-cheeked Bee-eater
Biæder;Merops apiaster;European Bee-eater
Blånakket Musefugl;Urocolius macrourus;Blue-naped Mousebird
Ellekrage;Coracias garrulus;European Roller
Blåkronet Ellekrage;Coracias benghalensis;Indian Roller
Brednæbbet Ellekrage;Eurystomus glaucurus;Broad-billed Roller
Savanneellekrage;Coracias abyssinica;Abyssinian Roller
Hærfugl;Upupa epops;Eurasian Hoopoe
Vendehals;Jynx torquilla;Eurasian Wryneck
Guldspætte;Colaptes auratus;Northern Flicker
Gråspætte;Picus canus;Grey-faced Woodpecker
Grønspætte;Picus viridis;European Green Woodpecker
Berbergrønspætte;Picus vaillantii;Levaillant’s Woodpecker
Sortspætte;Dryocopus martius;Black Woodpecker
Gulbuget Saftspætte;Sphyrapicus varius;Yellow-bellied Sapsucker
Stor Flagspætte;Dendrocopos major;Great Spotted Woodpecker
Syrisk Flagspætte;Dendrocopos syriacus;Syrian Woodpecker
Mellemflagspætte;Dendrocopos medius;Middle Spotted Woodpecker
Hvidrygget Flagspætte;Dendrocopos leucotos;White-backed Woodpecker
Lille Flagspætte;Dendrocopos minor;Lesser Spotted Woodpecker
Tretået Spætte;Picoides tridactylus;Eurasian Three-toed Woodpecker
Akadien-empidonax;Empidonax virescens;Acadian Flycatcher
Elle-empidonax;Empidonax alnorum;Alder Flycatcher
Lille Empidonax;Empidonax minimus;Least Flycatcher
Fibii;Sayornis phoebe;Eastern Phoebe
Langhalet Kongetyran;Tyrannus savana;Fork-tailed Flycatcher
Østlig Kongetyran;Tyrannus tyrannus;Eastern Kingbird
Brunisset Lærke;Eremopterix signata;Chestnut-headed Sparrow-lark
Sortisset Lærke;Eremopterix nigriceps;Black-crowned Sparrow-lark
Eremitlærke;Eremalauda dunni;Dunn’s Lark
Lille Ørkenlærke;Ammomanes cincturus;Bar-tailed Desert Lark
Ørkenlærke;Ammomanes deserti;Desert Lark
Hærfuglelærke;Alaemon alaudipes;Greater Hoopoe-Lark
Duponts Lærke;Chersophilus duponti;Dupont’s Lark
Tyknæbbet Lærke;Ramphocoris clotbey;Thick-billed Lark
Kalanderlærke;Melanocorypha calandra;Calandra Lark
Østlig Kalanderlærke;Melanocorypha bimaculata;Bimaculated Lark
Hvidvinget Lærke;Melanocorypha leucoptera;White-winged Lark
Sortlærke;Melanocorypha yeltoniensis;Black Lark
Korttået Lærke;Calandrella brachydactyla;Greater Short-toed Lark
Spidsnæbbet Lærke;Calandrella acutirostris;Hume’s Short-toed Lark
Dværglærke;Calandrella rufescens;Lesser Short-toed Lark
Toplærke;Galerida cristata;Crested Lark
Theklalærke;Galerida theklae;Thekla Lark
Hedelærke;Lullula arborea;Wood Lark
Lille Sanglærke;Alauda gulgula;Oriental Lark
Sanglærke;Alauda arvensis;Eurasian Skylark
Razolærke;Alauda razae;Raso Lark
Bjerglærke;Eremophila alpestris;Horned Lark
Ørkenbjerglærke;Eremophila bilopha;Temminck’s Lark
Brunstrubet Digesvale;Riparia paludicola;Brown-throated Martin
Digesvale;Riparia riparia;Sand Martin
Stor Digesvale;Riparia cincta;Banded Martin
Træsvale;Tachycineta bicolor;Tree Swallow
Purpursvale;Progne subis;Purple Martin
Bleg Klippesvale;Ptyonoprogne fuligula;Rock Martin
Klippesvale;Ptyonoprogne rupestris;Eurasian Crag Martin
Landsvale;Hirundo rustica;Barn Swallow
Etiopersvale;Hirundo aethiopica;Ethiopian Swallow
Bysvale;Delichon urbicum;Common House Martin
Rødrygget Svale;Cecropis daurica;Red-rumped Swallow
Indisk Klippesvale;Petrochelidon fluvicola;Streak-throated Swallow
Stensvale;Petrochelidon pyrrhonota;American Cliff Swallow
Storpiber;Anthus richardi;Richard’s Pipit
Mongolsk Piber;Anthus godlewskii;Blyth’s Pipit
Markpiber;Anthus campestris;Tawny Pipit
Kanarisk Piber;Anthus berthelotii;Berthelot’s Pipit
Langnæbbet Piber;Anthus similis;Long-billed Pipit
Tajgapiber;Anthus hodgsoni;Olive-backed Pipit
Skovpiber;Anthus trivialis;Tree Pipit
Tundrapiber;Anthus gustavi;Pechora Pipit
Engpiber;Anthus pratensis;Meadow Pipit
Rødstrubet Piber;Anthus cervinus;Red-throated Pipit
Skærpiber;Anthus petrosus;Eurasian Rock Pipit
Bjergpiber;Anthus spinoletta;Water Pipit
Hedepiber;Anthus rubescens;Buff-bellied Pipit
Gul Vipstjert;Motacilla flava;Yellow Wagtail
Citronvipstjert;Motacilla citreola;Citrine Wagtail
Bjergvipstjert;Motacilla cinerea;Grey Wagtail
Hvid Vipstjert;Motacilla alba;White Wagtail
Afrikansk Vipstjert;Motacilla aguimp;African Pied Wagtail
Skovvipstjert;Dendronanthus indicus;Forest Wagtail
Hvidkindet Bulbul;Pycnonotus leucotis;White-eared Bulbul
Levantbulbul;Pycnonotus xanthopygos;White-spectacled Bulbul
Berberbulbul;Pycnonotus barbatus;Common Bulbul
Rødgumpet Bulbul;Pycnonotus cafer;Red-vented Bulbul
Silkehale;Bombycilla garrulus;Bohemian Waxwing
Cedersilkehale;Bombycilla cedrorum;Cedar Waxwing
Hypocolius;Hypocolius ampelinus;Hypocolius
Vandstær;Cinclus cinclus;White-throated Dipper
Gærdesmutte;Troglodytes troglodytes;Eurasian Wren
Nordlig Spottedrossel;Mimus polyglottos;Northern Mockingbird
Røddrossel;Toxostoma rufum;Brown Thrasher
Kattedrossel;Dumetella carolinensis;Grey Catbird
Jernspurv;Prunella modularis;Dunnock
Sibirisk Jernspurv;Prunella montanella;Siberian Accentor
Kaukasisk Jernspurv;Prunella ocularis;Radde’s Accentor
Sortstrubet Jernspurv;Prunella atrogularis;Black-throated Accentor
Alpejernspurv;Prunella collaris;Alpine Accentor
Trænattergal;Cercotrichas galactotes;Rufous-tailed Scrub Robin
Sort Trænattergal;Cercotrichas podobe;Black Scrub Robin
Rødhals;Erithacus rubecula;European Robin
Manchurernattergal;Luscinia sibilans;Rufous-tailed Robin
Nattergal;Luscinia luscinia;Thrush Nightingale
Sydlig Nattergal;Luscinia megarhynchos;Common Nightingale
Rubinnattergal;Luscinia calliope;Siberian Rubythroat
Blåhals;Luscinia svecica;Bluethroat
Blånattergal;Luscinia cyane;Siberian Blue Robin
Blåstjert;Tarsiger cyanurus;Red-flanked Bluetail
Hvidhals;Irania gutturalis;White-throated Robin
Gråhovedet Rødstjert;Phoenicurus erythronotus;Eversmann’s Redstart
Husrødstjert;Phoenicurus ochruros;Black Redstart
Rødstjert;Phoenicurus phoenicurus;Common Redstart
Amurrødstjert;Phoenicurus auroreus;Daurian Redstart
Diademrødstjert;Phoenicurus moussieri;Moussier’s Redstart
Bjergrødstjert;Phoenicurus erythrogaster;Güldenstädt’s Redstart
Sortstjert;Cercomela melanura;Blackstart
Bynkefugl;Saxicola rubetra;Whinchat
Kanarisk Bynkefugl;Saxicola dacotiae;Fuerteventura Chat
Sortstrubet Bynkefugl;Saxicola torquatus;European Stonechat
Sibirisk Bynkefugl;Saxicola maurus;Siberian Stonechat
Sort Bynkefugl;Saxicola caprata;Pied Bush Chat
Myrepikker;Myrmecocichla aethiops;Anteater Chat
Isabellastenpikker;Oenanthe isabellina;Isabelline Wheatear
Stenpikker;Oenanthe oenanthe;Northern Wheatear
Nonnestenpikker;Oenanthe pleschanka;Pied Wheatear
Cypernstenpikker;Oenanthe cypriaca;Cyprus Wheatear
Middelhavsstenpikker;Oenanthe hispanica;Black-eared Wheatear
Ørkenstenpikker;Oenanthe deserti;Desert Wheatear
Hvidrygget Stenpikker;Oenanthe finschii;Finsch’s Wheatear
Berberstenpikker;Oenanthe moesta;Red-rumped Wheatear
Kurdisk Stenpikker;Oenanthe xanthoprymna;Kurdistan Wheatear
Afghanstenpikker;Oenanthe chrysopygia;Red-tailed Wheatear
Klippestenpikker;Oenanthe lugens;Mourning Wheatear
Hættestenpikker;Oenanthe monacha;Hooded Wheatear
Sorthovedet Stenpikker;Oenanthe alboniger;Hume’s Wheatear
Hvidkronet Stenpikker;Oenanthe leucopyga;White-crowned Wheatear
Sørgestenpikker;Oenanthe leucura;Black Wheatear
Stendrossel;Monticola saxatilis;Rufous-tailed Rock Thrush
Blådrossel;Monticola solitarius;Blue Rock Thrush
Gulddrossel;Zoothera dauma;Scaly Thrush
Sibirisk Drossel;Zoothera sibirica;Siberian Thrush
Flammedrossel;Ixoreus naevius;Varied Thrush
Plettet Skovdrossel;Hylocichla mustelina;Wood Thrush
Eremitdrossel;Catharus guttatus;Hermit Thrush
Olivenskovdrossel;Catharus ustulatus;Swainson’s Thrush
Gråkindet Skovdrossel;Catharus minimus;Grey-cheeked Thrush
Rustrygget Skovdrossel;Catharus fuscescens;Veery
Grådrossel;Turdus unicolor;Tickell’s Thrush
Ringdrossel;Turdus torquatus;Ring Ouzel
Solsort;Turdus merula;Common Blackbird
Gråstrubet Drossel;Turdus obscurus;Eyebrowed Thrush
Brundrossel;Turdus eunomus;Dusky Thrush
Rustdrossel;Turdus naumanni;Naumann’s Thrush
Sortstrubet Drossel;Turdus atrogularis;Black-throated Thrush
Rødstrubet Drossel;Turdus ruficollis;Red-throated Thrush
Sjagger;Turdus pilaris;Fieldfare
Sangdrossel;Turdus philomelos;Song Thrush
Vindrossel;Turdus iliacus;Redwing
Misteldrossel;Turdus viscivorus;Mistle Thrush
Vandredrossel;Turdus migratorius;American Robin
Cettisanger;Cettia cetti;Cetti’s Warbler
Cistussanger;Cisticola juncidis;Zitting Cisticola
Sahelsanger;Spiloptila clamans;Cricket Warbler
Yndefuld Prinia;Prinia gracilis;Graceful Warbler
Kratsanger;Scotocerca inquieta;Scrub Warbler
Pallas’ Græshoppesanger;Locustella certhiola;Pallas’s Grasshopper Warbler
Stribet Græshoppesanger;Locustella lanceolata;Lanceolated Warbler
Græshoppesanger;Locustella naevia;Common Grasshopper Warbler
Flodsanger;Locustella fluviatilis;River Warbler
Savisanger;Locustella luscinioides;Savi’s Warbler
Stor Græshoppesanger;Locustella fasciolata;Gray’s Grasshopper Warbler
Tamarisksanger;Acrocephalus melanopogon;Moustached Warbler
Vandsanger;Acrocephalus paludicola;Aquatic Warbler
Sivsanger;Acrocephalus schoenobaenus;Sedge Warbler
Lille Rørsanger;Acrocephalus agricola;Paddyfield Warbler
Buskrørsanger;Acrocephalus dumetorum;Blyth’s Reed Warbler
Kap Verde-rørsanger;Acrocephalus brevipennis;Cape Verde Warbler
Kærsanger;Acrocephalus palustris;Marsh Warbler
Rørsanger;Acrocephalus scirpaceus;Eurasian Reed Warbler
Papyrussanger;Acrocephalus stentoreus;Clamorous Reed Warbler
Drosselrørsanger;Acrocephalus arundinaceus;Great Reed Warbler
Østlig Drosselrørsanger;Acrocephalus orientalis;Oriental Reed Warbler
Basradrosselrørsanger;Acrocephalus griseldis;Basra Reed Warbler
Tyknæbbet Drosselrørsanger;Acrocephalus aedon;Thick-billed Warbler
Bleg Gulbug;Hippolais pallida;Eastern Olivaceous Warbler
Vestlig Bleg Gulbug;Hippolais opaca;Western Olivaceous Warbler
Lille Gulbug;Hippolais caligata;Booted Warbler
Steppegulbug;Hippolais rama;Sykes’s Warbler
Orientgulbug;Hippolais languida;Upcher’s Warbler
Olivensanger;Hippolais olivetorum;Olive-tree Warbler
Gulbug;Hippolais icterina;Icterine Warbler
Spottesanger;Hippolais polyglotta;Melodious Warbler
Sardinsk Sanger;Sylvia sarda;Marmora’s Warbler
Balearsanger;Sylvia balearica;Balearic Warbler
Provencesanger;Sylvia undata;Dartford Warbler
Berbersanger;Sylvia deserticola;Tristram’s Warbler
Brillesanger;Sylvia conspicillata;Spectacled Warbler
Hvidskægget Sanger;Sylvia cantillans;Subalpine Warbler
Rosasanger;Sylvia mystacea;Menetries’s Warbler
Sorthovedet Sanger;Sylvia melanocephala;Sardinian Warbler
Cypernsanger;Sylvia melanothorax;Cyprus Warbler
Sortstrubet Sanger;Sylvia rueppelli;Rüppell’s Warbler
Asiatisk Ørkensanger;Sylvia nana;Asian Desert Warbler
Afrikansk Ørkensanger;Sylvia deserti;African Desert Warbler
Rødehavssanger;Sylvia leucomelaena;Arabian Warbler
Mestersanger;Sylvia hortensis;Western Orphean Warbler
Østlig Mestersanger;Sylvia crassirostris;Eastern Orphean Warbler
Høgesanger;Sylvia nisoria;Barred Warbler
Gærdesanger;Sylvia curruca;Lesser Whitethroat
Tornsanger;Sylvia communis;Common Whitethroat
Havesanger;Sylvia borin;Garden Warbler
Munk;Sylvia atricapilla;Eurasian Blackcap
Østlig Kronsanger;Phylloscopus coronatus;Eastern Crowned Warbler
Kaukasisk Lundsanger;Phylloscopus nitidus;Green Warbler
Lundsanger;Phylloscopus trochiloides;Greenish Warbler
Østlig Lundsanger;Phylloscopus plumbeitarsus;Two-barred Warbler
Nordsanger;Phylloscopus borealis;Arctic Warbler
Fuglekongesanger;Phylloscopus proregulus;Pallas’s Leaf Warbler
Hvidbrynet Løvsanger;Phylloscopus inornatus;Yellow-browed Warbler
Himalayasanger;Phylloscopus humei;Hume’s Leaf Warbler
Schwarz’ Løvsanger;Phylloscopus schwarzi;Radde’s Warbler
Brun Løvsanger;Phylloscopus fuscatus;Dusky Warbler
Bjergløvsanger;Phylloscopus bonelli;Western Bonelli’s Warbler
Balkanløvsanger;Phylloscopus orientalis;Eastern Bonelli’s Warbler
Skovsanger;Phylloscopus sibilatrix;Wood Warbler
Dværgløvsanger;Phylloscopus neglectus;Plain Leaf Warbler
Gransanger;Phylloscopus collybita;Common Chiffchaff
Bjerggransanger;Phylloscopus sindianus;Mountain Chiffchaff
Iberisk Gransanger;Phylloscopus ibericus;Iberian Chiffchaff
Kanarisk Gransanger;Phylloscopus canariensis;Canary Islands Chiffchaff
Løvsanger;Phylloscopus trochilus;Willow Warbler
Rubinfuglekonge;Regulus calendula;Ruby-crowned Kinglet
Fuglekonge;Regulus regulus;Goldcrest
Rødtoppet Fuglekonge;Regulus ignicapilla;Firecrest
Madeirafuglekonge;Regulus madeirensis;Madeira Firecrest
Brun Fluesnapper;Muscicapa dauurica;Asian Brown Flycatcher
Grå Fluesnapper;Muscicapa striata;Spotted Flycatcher
Lille Fluesnapper;Ficedula parva;Red-breasted Flycatcher
Tajgafluesnapper;Ficedula albicilla;Taiga Flycatcher
Balkanfluesnapper;Ficedula semitorquata;Semicollared Flycatcher
Hvidhalset Fluesnapper;Ficedula albicollis;Collared Flycatcher
Broget Fluesnapper;Ficedula hypoleuca;Eurasian Pied Flycatcher
Berberfluesnapper;Ficedula speculigera;Atlas Pied Flycatcher
Skægmejse;Panurus biarmicus;Bearded Reedling
Kanelpapegøjenæb;Paradoxornis webbianus;Vinous-throated Parrotbill
Iraklarmdrossel;Turdoides altirostris;Iraq Babbler
Stribet Larmdrossel;Turdoides caudatus;Common Babbler
Arabisk Larmdrossel;Turdoides squamiceps;Arabian Babbler
Gulbrun Larmdrossel;Turdoides fulvus;Fulvous Babbler
Sangtimalie;Leiothrix lutea;Red-billed Leiothrix
Halemejse;Aegithalos caudatus;Long-tailed Bushtit
Blåmejse;Cyanistes caeruleus;Blue Tit
Kanarisk Blåmejse;Cyanistes teneriffae;African Blue Tit
Azurmejse;Cyanistes cyanus;Azure Tit
Musvit;Parus major;Great Tit
Topmejse;Lophophanes cristatus;European Crested Tit
Sortmejse;Periparus ater;Coal Tit
Sumpmejse;Poecile palustris;Marsh Tit
Sørgemejse;Poecile lugubris;Sombre Tit
Fyrremejse;Poecile montana;Willow Tit
Lapmejse;Poecile cincta;Grey-headed Chickadee
Krüpers Spætmejse;Sitta krueperi;Krüper’s Nuthatch
Korsikansk Spætmejse;Sitta whiteheadi;Corsican Nuthatch
Kabylerspætmejse;Sitta ledanti;Algerian Nuthatch
Amerikansk Spætmejse;Sitta canadensis;Red-breasted Nuthatch
Spætmejse;Sitta europaea;Eurasian Nuthatch
Østlig Klippespætmejse;Sitta tephronota;Eastern Rock Nuthatch
Klippespætmejse;Sitta neumayer;Western Rock Nuthatch
Murløber;Tichodroma muraria;Wallcreeper
Træløber;Certhia familiaris;Eurasian Treecreeper
Korttået Træløber;Certhia brachydactyla;Short-toed Treecreeper
Pungmejse;Remiz pendulinus;Eurasian Penduline Tit
Lille Solfugl;Anthreptes platurus;Pygmy Sunbird
Nilsolfugl;Anthreptes metallicus;Nile Valley Sunbird
Palæstinasolfugl;Nectarinia osea;Palestine Sunbird
Purpursolfugl;Nectarinia asiatica;Purple Sunbird
Pirol;Oriolus oriolus;Eurasian Golden Oriole
Krattornskade;Tchagra senegalus;Black-headed Bush Shrike
Brun Tornskade;Lanius cristatus;Brown Shrike
Isabellatornskade;Lanius isabellinus;Isabelline Shrike
Rødrygget Tornskade;Lanius collurio;Red-backed Shrike
Langhalet Tornskade;Lanius schach;Long-tailed Shrike
Rosenbrystet Tornskade;Lanius minor;Lesser Grey Shrike
Stor Tornskade;Lanius excubitor;Great Grey Shrike
Sydlig Stor Tornskade;Lanius meridionalis;Southern Grey Shrike
Rødhovedet Tornskade;Lanius senator;Woodchat Shrike
Masketornskade;Lanius nubicus;Masked Shrike
Askedrongo;Dicrurus leucophaeus;Ashy Drongo
Skovskade;Garrulus glandarius;Eurasian Jay
Lavskrige;Perisoreus infaustus;Siberian Jay
Blåskade;Cyanopica cyanus;Azure-winged Magpie
Husskade;Pica pica;Eurasian Magpie
Nøddekrige;Nucifraga caryocatactes;Spotted Nutcracker
Alpeallike;Pyrrhocorax graculus;Alpine Chough
Alpekrage;Pyrrhocorax pyrrhocorax;Red-billed Chough
Allike;Corvus monedula;Western Jackdaw
Sibirisk Allike;Corvus dauuricus;Daurian Jackdaw
Huskrage;Corvus splendens;House Crow
Råge;Corvus frugilegus;Rook
Sortkrage;Corvus corone;Carrion Crow
Gråkrage;Corvus cornix;Hooded Crow
Broget Krage;Corvus albus;Pied Crow
Ørkenravn;Corvus ruficollis;Brown-necked Raven
Ravn;Corvus corax;Northern Raven
Korthalet Ravn;Corvus rhipidurus;Fan-tailed Raven
Tristrams Sortstær;Onychognathus tristramii;Tristram’s Starling
Ensfarvet Stær;Sturnus unicolor;Spotless Starling
Stær;Sturnus vulgaris;Common Starling
Rosenstær;Pastor roseus;Rosy Starling
Amurstær;Agropsar sturninus;Daurian Starling
Burmastær;Sturnus burmannicus;Vinous-breasted Starling
Grå Maina;Acridotheres ginginianus;Bank Myna
Maina;Acridotheres tristis;Common Myna
Topmaina;Acridotheres cristatellus;Crested Myna
Gråspurv;Passer domesticus;House Sparrow
Spansk Spurv;Passer hispaniolensis;Spanish Sparrow
Dødehavsspurv;Passer moabiticus;Dead Sea Sparrow
Kap Verde-spurv;Passer iagoensis;Iago Sparrow
Ørkenspurv;Passer simplex;Desert Sparrow
Skovspurv;Passer montanus;Eurasian Tree Sparrow
Sahelspurv;Passer luteus;Sudan Golden Sparrow
Gyldenspurv;Passer euchlorus;Arabian Golden Sparrow
Lys Stenspurv;Petronia brachydactyla;Pale Rock Sparrow
Gulstrubet Stenspurv;Petronia xanthocollis;Yellow-throated Sparrow
Stenspurv;Petronia petronia;Rock Sparrow
Snefinke;Montifringilla nivalis;White-winged Snowfinch
Stor Maskevæver;Ploceus cucullatus;Village Weaver
Sorthovedet Væver;Ploceus melanocephalus;Black-headed Weaver
Stribet Væver;Ploceus manyar;Streaked Weaver
Napoleonsvæver;Euplectes afer;Yellow-crowned Bishop
Amarant;Lagonosticta senegala;Red-billed Firefinch
Helenaastrild;Estrilda astrild;Common Waxbill
Tigerfinke;Amandava amandava;Red Avadavat
Trefarvet Nonne;Lonchura malacca;Black-headed Munia
Indisk Sølvnæb;Euodice malabarica;Indian Silverbill
Afrikansk Sølvnæb;Euodice cantans;African Silverbill
Gulbrystet Vireo;Vireo flavifrons;Yellow-throated Vireo
Hvidøjet Vireo;Vireo griseus;White-eyed Vireo
Philadelphiavireo;Vireo philadelphicus;Philadelphia Vireo
Rødøjet Vireo;Vireo olivaceus;Red-eyed Vireo
Bogfinke;Fringilla coelebs;Common Chaffinch
Blå Bogfinke;Fringilla teydea;Blue Chaffinch
Kvækerfinke;Fringilla montifringilla;Brambling
Rødpandet Irisk;Serinus pusillus;Red-fronted Serin
Gulirisk;Serinus serinus;European Serin
Syrisk Gulirisk;Serinus syriacus;Syrian Serin
Kanariefugl;Serinus canaria;Atlantic Canary
Citronsisken;Carduelis citrinella;Citril Finch
Brunrygget Citronsisken;Carduelis corsicana;Corsican Finch
Grønirisk;Carduelis chloris;European Greenfinch
Stillits;Carduelis carduelis;European Goldfinch
Grønsisken;Carduelis spinus;Eurasian Siskin
Tornirisk;Carduelis cannabina;Common Linnet
Bjergirisk;Carduelis flavirostris;Twite
Lille Gråsisken;Carduelis cabaret;Lesser Redpoll
Stor Gråsisken;Carduelis flammea;Common Redpoll
Hvidsisken;Carduelis hornemanni;Arctic Redpoll
Hvidvinget Korsnæb;Loxia leucoptera;Two-barred Crossbill
Lille Korsnæb;Loxia curvirostra;Red Crossbill
Skotsk Korsnæb;Loxia scotica;Scottish Crossbill
Stor Korsnæb;Loxia pytyopsittacus;Parrot Crossbill
Karmoisinfinke;Rhodopechys sanguinea;Crimson-winged Finch
Ørkenfinke;Rhodospiza obsoleta;Desert Finch
Langhalet Rosenfinke;Uragus sibiricus;Long-tailed Rosefinch
Mongolsk Ørkendompap;Bucanetes mongolicus;Mongolian Finch
Ørkendompap;Bucanetes githagineus;Trumpeter Finch
Karmindompap;Carpodacus erythrinus;Common Rosefinch
Sinai-karmindompap;Carpodacus synoicus;Sinai Rosefinch
Rosenfinke;Carpodacus roseus;Pallas’s Rosefinch
Stor Rosenfinke;Carpodacus rubicilla;Great Rosefinch
Azorerdompap;Pyrrhula murina;Azores Bullfinch
Krognæb;Pinicola enucleator;Pine Grosbeak
Dompap;Pyrrhula pyrrhula;Eurasian Bullfinch
Kernebider;Coccothraustes coccothraustes;Hawfinch
Aftenkernebider;Hesperiphona vespertina;Evening Grosbeak
Sorthvid Sanger;Mniotilta varia;Black-and-white Warbler
Blåvinget Sanger;Vermivora pinus;Blue-winged Warbler
Gulvinget Sanger;Vermivora chrysoptera;Golden-winged Warbler
Tennesseesanger;Vermivora peregrina;Tennessee Warbler
Parulasanger;Parula americana;Northern Parula
Gul Sanger;Dendroica petechia;American Yellow Warbler
Brunsidet Sanger;Dendroica pensylvanica;Chestnut-sided Warbler
Blå Sanger;Dendroica caerulescens;Black-throated Blue Warbler
Sorthalset Sanger;Dendroica virens;Black-throated Green Warbler
Gulstrubet Sanger;Dendroica dominica;Yellow-throated Warbler
Præriesanger;Dendroica discolor;Prairie Warbler
Ildsanger;Dendroica fusca;Blackburnian Warbler
Cyanblå Sanger;Dendroica cerulea;Cerulean Warbler
Brunkindet Sanger;Dendroica tigrina;Cape May Warbler
Magnoliesanger;Dendroica magnolia;Magnolia Warbler
Myrtesanger;Dendroica coronata;Yellow-rumped Warbler
Mossanger;Dendroica palmarum;Palm Warbler
Stribet Sanger;Dendroica striata;Blackpoll Warbler
Brunbrystet Sanger;Dendroica castanea;Bay-breasted Warbler
Amerikansk Ildstjert;Setophaga ruticilla;American Redstart
Brillevanddrossel;Seiurus aurocapilla;Ovenbird
Nordlig Vanddrossel;Seiurus noveboracensis;Northern Waterthrush
Sydlig Vanddrossel;Seiurus motacilla;Louisiana Waterthrush
Gulstrube;Geothlypis trichas;Common Yellowthroat
Hættesanger;Wilsonia citrina;Hooded Warbler
Sortkronet Sanger;Wilsonia pusilla;Wilson’s Warbler
Canadasanger;Wilsonia canadensis;Canada Warbler
Sommertangar;Piranga rubra;Summer Tanager
Skarlagentangar;Piranga olivacea;Scarlet Tanager
Rødsidet Buskspurv;Pipilo erythrophthalmus;Eastern Towhee
Lærkespurv;Chondestes grammacus;Lark Sparrow
Savannahspurv;Passerculus sandwichensis;Savannah Sparrow
Rævespurv;Zonotrichia iliaca;Fox Sparrow
Sangspurv;Melospiza melodia;Song Sparrow
Stribet Sangspurv;Melospiza lincolnii;Lincoln’s Sparrow
Hvidkronet Spurv;Zonotrichia leucophrys;White-crowned Sparrow
Hvidstrubet Spurv;Zonotrichia albicollis;White-throated Sparrow
Mørkøjet Junco;Junco hyemalis;Dark-eyed Junco
Lapværling;Calcarius lapponicus;Lapland Longspur
Snespurv;Plectrophenax nivalis;Snow Bunting
Gråhovedet Værling;Emberiza spodocephala;Black-faced Bunting
Hvidkindet Værling;Emberiza leucocephalos;Pine Bunting
Gulspurv;Emberiza citrinella;Yellowhammer
Gærdeværling;Emberiza cirlus;Cirl Bunting
Klippeværling;Emberiza cia;Rock Bunting
Stribet Værling;Emberiza striolata;Mountain Bunting
Husværling;Emberiza sahari;House Bunting
Gulgrå Værling;Emberiza cineracea;Cinereous Bunting
Hortulan;Emberiza hortulana;Ortolan Bunting
Bjerghortulan;Emberiza buchanani;Grey-necked Bunting
Rustværling;Emberiza caesia;Cretzschmar’s Bunting
Gulbrynet Værling;Emberiza chrysophrys;Yellow-browed Bunting
Pileværling;Emberiza rustica;Rustic Bunting
Brunøret Værling;Emberiza fucata;Chestnut-eared Bunting
Dværgværling;Emberiza pusilla;Little Bunting
Rødværling;Emberiza rutila;Chestnut Bunting
Gulbrystet Værling;Emberiza aureola;Yellow-breasted Bunting
Rørspurv;Emberiza schoeniclus;Common Reed Bunting
Sibirisk Rørspurv;Emberiza pallasi;Pallas’s Reed Bunting
Brunhovedet Værling;Emberiza bruniceps;Red-headed Bunting
Hætteværling;Emberiza melanocephala;Black-headed Bunting
Bomlærke;Emberiza calandra;Corn Bunting
Dickcissel;Spiza americana;Dickcissel
Rosenbrystet Kernebider;Pheucticus ludovicianus;Rose-breasted Grosbeak
